ncrna_id,drug_id,disease_id,label,split_role,source_dataset
22,71,12,2,positive,dataset2
22,75,10,1,positive,dataset2
22,85,12,1,positive,dataset2
23,23,26,1,positive,dataset1
24,2,24,2,positive,dataset1
24,3,2,2,positive,dataset2
24,3,12,2,positive,dataset2
24,3,26,2,positive,dataset2
24,3,37,2,positive,dataset2
24,7,24,2,positive,dataset1
24,21,3,1,positive,dataset1
24,21,10,2,positive,dataset2
24,21,12,2,positive,dataset2
24,21,17,1,positive,dataset1
24,21,17,2,positive,dataset2
24,21,22,2,positive,dataset2
24,21,37,2,positive,dataset2
24,31,24,1,positive,dataset1
24,31,24,2,positive,dataset2
24,36,24,2,positive,dataset1
24,39,23,1,positive,dataset1
24,39,23,2,positive,dataset2
24,41,15,2,positive,dataset1
24,42,23,2,positive,dataset1;dataset2
24,54,24,1,positive,dataset1
24,58,12,1,positive,dataset1
24,60,36,2,positive,dataset2
24,60,37,2,positive,dataset2
24,68,24,2,positive,dataset1
24,71,12,2,positive,dataset2
24,73,2,2,positive,dataset1
24,75,28,2,positive,dataset2
24,76,24,2,positive,dataset1
24,85,12,1,positive,dataset2
25,39,6,1,positive,dataset1;dataset2
25,58,6,1,positive,dataset1;dataset2
26,0,5,1,positive,dataset1
26,3,2,1,positive,dataset1;dataset2
26,3,12,1,positive,dataset1
26,3,13,1,positive,dataset1;dataset2
26,12,19,1,positive,dataset1;dataset2
26,21,2,1,positive,dataset1
26,21,15,1,positive,dataset2
26,21,18,1,positive,dataset2
26,21,22,1,positive,dataset2
26,21,22,2,positive,dataset1
26,21,26,1,positive,dataset1
26,21,43,1,positive,dataset2
26,22,17,2,positive,dataset2
26,31,12,2,positive,dataset2
26,32,24,1,positive,dataset2
26,34,17,1,positive,dataset2
26,34,17,2,positive,dataset2
26,39,6,1,positive,dataset2
26,39,6,2,positive,dataset2
26,39,12,2,positive,dataset2
26,40,2,1,positive,dataset2
26,40,2,2,positive,dataset1
26,41,15,1,positive,dataset2
26,41,17,1,positive,dataset2
26,41,17,2,positive,dataset1;dataset2
26,52,6,1,positive,dataset1
26,58,6,1,positive,dataset1;dataset2
26,58,12,1,positive,dataset2
26,60,2,1,positive,dataset1;dataset2
26,60,2,2,positive,dataset1
26,60,12,2,positive,dataset2
26,60,36,1,positive,dataset2
26,60,37,1,positive,dataset2
26,63,2,1,positive,dataset1
26,71,12,1,positive,dataset2
26,73,2,1,positive,dataset2
26,73,2,2,positive,dataset1
26,75,10,2,positive,dataset1
26,75,28,1,positive,dataset2
26,75,28,2,positive,dataset2
26,84,13,1,positive,dataset1
26,84,19,1,positive,dataset2
26,84,26,1,positive,dataset2
26,90,12,2,positive,dataset2
26,91,44,2,positive,dataset2
26,92,44,2,positive,dataset2
27,21,22,1,positive,dataset2
27,60,22,1,positive,dataset1;dataset2
28,3,30,1,positive,dataset2
28,21,1,1,positive,dataset1
28,57,15,1,positive,dataset2
29,3,0,1,positive,dataset2
29,3,2,1,positive,dataset2
29,3,2,2,positive,dataset1
29,3,26,1,positive,dataset2
29,18,22,1,positive,dataset1
29,21,6,1,positive,dataset2
29,21,12,2,positive,dataset1
29,21,15,1,positive,dataset2
29,21,15,2,positive,dataset1
29,21,16,2,positive,dataset1
29,21,17,1,positive,dataset1;dataset2
29,21,21,1,positive,dataset2
29,21,22,1,positive,dataset1;dataset2
29,21,26,1,positive,dataset2
29,21,26,2,positive,dataset1
29,21,36,2,positive,dataset2
29,22,17,1,positive,dataset2
29,22,17,2,positive,dataset1
29,30,19,1,positive,dataset2
29,39,8,1,positive,dataset2
29,39,26,1,positive,dataset2
29,39,26,2,positive,dataset1;dataset2
29,41,16,1,positive,dataset1
29,41,17,1,positive,dataset2
29,41,17,2,positive,dataset2
29,42,23,1,positive,dataset1;dataset2
29,43,24,2,positive,dataset1
29,47,38,1,positive,dataset2
29,53,26,1,positive,dataset2
29,58,26,2,positive,dataset2
29,60,6,1,positive,dataset2
29,60,12,1,positive,dataset2
29,60,22,1,positive,dataset2
29,60,24,1,positive,dataset2
29,66,3,2,positive,dataset1
29,71,12,1,positive,dataset2
29,72,25,1,positive,dataset2
29,73,2,1,positive,dataset1
29,73,2,2,positive,dataset2
29,75,28,1,positive,dataset2
29,75,28,2,positive,dataset2
29,84,26,1,positive,dataset2
29,94,36,1,positive,dataset2
30,3,8,1,positive,dataset2
30,3,30,1,positive,dataset2
30,21,22,1,positive,dataset2
30,21,23,1,positive,dataset2
30,21,24,1,positive,dataset2
30,21,26,1,positive,dataset2
30,21,30,1,positive,dataset2
30,35,30,1,positive,dataset2
30,53,6,1,positive,dataset2
30,60,15,1,positive,dataset1;dataset2
30,71,12,1,positive,dataset2
30,75,28,2,positive,dataset2
31,3,26,2,positive,dataset1
31,21,26,1,positive,dataset2
31,21,26,2,positive,dataset1
31,39,12,1,positive,dataset1
31,39,26,2,positive,dataset1
31,58,12,1,positive,dataset1;dataset2
31,58,12,2,positive,dataset2
31,60,36,1,positive,dataset2
31,63,12,1,positive,dataset1
32,3,0,1,positive,dataset1;dataset2
32,3,2,1,positive,dataset2
32,65,45,1,positive,dataset2
32,71,12,1,positive,dataset2
33,21,22,2,positive,dataset2
33,60,22,1,positive,dataset1
33,60,22,2,positive,dataset2
33,75,28,1,positive,dataset2
34,21,21,2,positive,dataset1;dataset2
34,21,22,1,positive,dataset2
35,3,0,1,positive,dataset1;dataset2
36,21,5,2,positive,dataset1;dataset2
36,39,8,2,positive,dataset1
36,42,23,2,positive,dataset2
36,52,6,1,positive,dataset2
36,60,36,2,positive,dataset2
37,41,15,1,positive,dataset2
37,41,17,1,positive,dataset1;dataset2
37,75,28,1,positive,dataset2
38,3,0,1,positive,dataset2
38,39,6,1,positive,dataset2
38,58,12,1,positive,dataset1
38,75,28,2,positive,dataset2
39,21,21,2,positive,dataset2
39,21,22,1,positive,dataset2
39,60,6,1,positive,dataset2
39,60,6,2,positive,dataset1
39,75,28,2,positive,dataset2
40,21,31,1,positive,dataset2
40,60,2,1,positive,dataset2
40,60,2,2,positive,dataset1
40,60,3,2,positive,dataset1
40,60,31,1,positive,dataset2
40,75,28,1,positive,dataset2
41,51,19,1,positive,dataset1;dataset2
42,21,22,2,positive,dataset2
42,60,22,1,positive,dataset1
42,60,22,2,positive,dataset2
43,3,2,1,positive,dataset1;dataset2
43,39,2,1,positive,dataset1;dataset2
43,73,2,1,positive,dataset2
44,21,9,1,positive,dataset1
44,39,9,1,positive,dataset1
45,3,2,2,positive,dataset2
45,3,6,1,positive,dataset2
45,15,6,1,positive,dataset2
45,21,17,1,positive,dataset2
45,39,6,1,positive,dataset2
45,52,21,1,positive,dataset1;dataset2
45,58,6,1,positive,dataset2
46,39,26,1,positive,dataset1;dataset2
46,58,26,1,positive,dataset1;dataset2
47,3,2,1,positive,dataset2
47,3,12,1,positive,dataset2
47,3,17,1,positive,dataset1;dataset2
47,3,19,1,positive,dataset2
47,6,0,1,positive,dataset2
47,12,19,1,positive,dataset2
47,21,16,1,positive,dataset1
47,21,17,1,positive,dataset1;dataset2
47,21,17,2,positive,dataset2
47,21,22,1,positive,dataset2
47,21,26,1,positive,dataset1;dataset2
47,21,31,1,positive,dataset2
47,32,24,1,positive,dataset2
47,39,6,1,positive,dataset2
47,39,12,1,positive,dataset2
47,39,14,2,positive,dataset1
47,39,26,1,positive,dataset1;dataset2
47,41,15,1,positive,dataset2
47,41,16,1,positive,dataset1
47,41,17,1,positive,dataset1;dataset2
47,41,17,2,positive,dataset1
47,47,4,2,positive,dataset1
47,53,12,1,positive,dataset2
47,57,17,1,positive,dataset2
47,58,6,1,positive,dataset2
47,58,6,2,positive,dataset1
47,58,26,1,positive,dataset2
47,59,6,1,positive,dataset1
47,60,17,1,positive,dataset1;dataset2
47,60,31,1,positive,dataset2
47,71,12,1,positive,dataset2
47,72,25,1,positive,dataset2
47,73,2,2,positive,dataset2
47,74,2,1,positive,dataset2
47,75,28,1,positive,dataset2
47,84,26,1,positive,dataset2
47,84,26,2,positive,dataset1
47,85,12,1,positive,dataset2
48,3,0,2,positive,dataset2
48,3,2,2,positive,dataset2
48,21,10,1,positive,dataset2
48,21,10,2,positive,dataset1
48,21,15,1,positive,dataset1
48,21,17,2,positive,dataset1;dataset2
48,21,22,1,positive,dataset2
48,21,30,1,positive,dataset2
48,22,17,1,positive,dataset2
48,39,2,2,positive,dataset2
48,42,17,2,positive,dataset2
48,42,23,1,positive,dataset1
48,42,23,2,positive,dataset2
48,47,4,2,positive,dataset1
48,58,6,2,positive,dataset1;dataset2
48,60,2,1,positive,dataset2
48,60,2,2,positive,dataset2
48,60,16,2,positive,dataset1
48,60,36,2,positive,dataset2
48,75,10,2,positive,dataset1
48,75,28,2,positive,dataset2
48,84,0,2,positive,dataset2
48,84,17,2,positive,dataset2
48,90,2,2,positive,dataset2
48,95,17,1,positive,dataset2
49,21,22,1,positive,dataset1
50,41,17,1,positive,dataset1
50,42,23,2,positive,dataset2
51,3,12,1,positive,dataset2
51,3,26,1,positive,dataset2
51,3,26,2,positive,dataset1
51,3,49,1,positive,dataset2
51,12,19,1,positive,dataset2
51,21,2,1,positive,dataset1;dataset2
51,21,16,2,positive,dataset1
51,21,17,2,positive,dataset2
51,21,20,2,positive,dataset1
51,21,21,1,positive,dataset1;dataset2
51,21,22,1,positive,dataset2
51,21,37,1,positive,dataset2
51,30,19,1,positive,dataset2
51,30,19,2,positive,dataset1
51,31,24,1,positive,dataset2
51,39,2,1,positive,dataset2
51,39,2,2,positive,dataset1
51,39,6,1,positive,dataset2
51,39,12,1,positive,dataset2
51,41,17,1,positive,dataset2
51,42,23,1,positive,dataset2
51,47,4,2,positive,dataset1
51,58,26,1,positive,dataset2
51,60,2,1,positive,dataset1;dataset2
51,60,17,1,positive,dataset2
51,60,17,2,positive,dataset1
51,60,22,1,positive,dataset1
51,60,36,1,positive,dataset2
51,60,37,1,positive,dataset2
51,71,12,1,positive,dataset2
51,71,12,2,positive,dataset1
51,73,2,1,positive,dataset2
51,75,28,1,positive,dataset2
51,84,5,1,positive,dataset1
51,84,26,1,positive,dataset2
51,85,12,1,positive,dataset2
51,120,17,1,positive,dataset2
51,148,17,1,positive,dataset2
52,8,12,2,positive,dataset1
53,21,22,1,positive,dataset2
53,58,12,1,positive,dataset1;dataset2
54,21,12,1,positive,dataset1;dataset2
55,21,22,2,positive,dataset2
55,60,22,1,positive,dataset1
55,60,22,2,positive,dataset2
56,3,21,1,positive,dataset2
56,21,21,1,positive,dataset1;dataset2
56,21,22,2,positive,dataset2
56,58,5,1,positive,dataset2
56,60,22,1,positive,dataset1
56,60,22,2,positive,dataset2
56,75,28,1,positive,dataset2
57,21,2,1,positive,dataset2
57,21,22,1,positive,dataset2
57,41,9,1,positive,dataset1
58,12,19,1,positive,dataset2
58,21,26,1,positive,dataset2
58,39,6,1,positive,dataset2
58,41,17,1,positive,dataset2
58,56,24,2,positive,dataset1
58,82,24,2,positive,dataset1
59,3,24,1,positive,dataset1
59,8,24,1,positive,dataset2
59,21,15,1,positive,dataset2
59,58,12,1,positive,dataset2
60,3,2,1,positive,dataset2
60,3,21,1,positive,dataset1
60,18,22,2,positive,dataset1
60,21,3,2,positive,dataset1
60,21,6,1,positive,dataset1;dataset2
60,21,22,1,positive,dataset1;dataset2
60,21,26,1,positive,dataset1;dataset2
60,31,22,2,positive,dataset1
60,39,6,1,positive,dataset1;dataset2
60,39,26,1,positive,dataset1;dataset2
60,39,26,2,positive,dataset2
60,42,21,1,positive,dataset1;dataset2
60,42,23,1,positive,dataset2
60,42,23,2,positive,dataset1
60,58,26,2,positive,dataset2
60,60,3,2,positive,dataset1
60,60,10,1,positive,dataset2
60,60,10,2,positive,dataset1
60,60,26,1,positive,dataset1;dataset2
60,60,36,1,positive,dataset2
60,75,28,2,positive,dataset2
61,21,15,2,positive,dataset2
61,21,22,2,positive,dataset2
61,60,22,1,positive,dataset1
61,60,22,2,positive,dataset2
62,21,22,2,positive,dataset2
62,60,22,1,positive,dataset1
62,60,22,2,positive,dataset2
63,3,0,1,positive,dataset2
63,21,22,2,positive,dataset2
63,21,26,1,positive,dataset1;dataset2
63,39,26,2,positive,dataset2
63,41,15,2,positive,dataset1;dataset2
63,47,4,1,positive,dataset1
63,58,12,1,positive,dataset1
63,58,26,2,positive,dataset2
63,60,22,1,positive,dataset1
63,60,22,2,positive,dataset2
63,75,28,2,positive,dataset2
64,84,5,1,positive,dataset1
65,31,24,1,positive,dataset2
65,31,24,2,positive,dataset1
65,75,28,1,positive,dataset2
66,3,2,1,positive,dataset2
66,3,13,1,positive,dataset2
66,21,17,2,positive,dataset1;dataset2
66,21,22,2,positive,dataset2
66,60,22,1,positive,dataset1
66,60,22,2,positive,dataset2
66,75,28,1,positive,dataset2
66,75,28,2,positive,dataset2
67,21,12,2,positive,dataset1
68,21,17,1,positive,dataset2
68,21,17,2,positive,dataset1
68,21,22,1,positive,dataset2
69,3,0,1,positive,dataset1;dataset2
69,3,21,1,positive,dataset2
69,3,30,1,positive,dataset2
69,6,0,1,positive,dataset2
69,21,2,2,positive,dataset1
69,21,6,1,positive,dataset2
69,21,9,1,positive,dataset1
69,21,17,2,positive,dataset2
69,21,21,1,positive,dataset2
69,21,30,1,positive,dataset2
69,21,37,2,positive,dataset2
69,35,30,1,positive,dataset2
69,39,29,1,positive,dataset2
69,42,29,1,positive,dataset2
69,52,6,1,positive,dataset2
69,52,6,2,positive,dataset1
69,73,2,1,positive,dataset2
69,75,10,2,positive,dataset2
70,21,9,2,positive,dataset1
70,21,36,2,positive,dataset2
70,39,9,2,positive,dataset1
70,60,36,2,positive,dataset2
70,75,28,2,positive,dataset2
71,3,0,1,positive,dataset2
71,3,0,2,positive,dataset1
71,3,26,1,positive,dataset1;dataset2
71,18,34,1,positive,dataset2
71,21,1,1,positive,dataset1
71,21,3,1,positive,dataset1
71,21,15,1,positive,dataset1;dataset2
71,21,17,1,positive,dataset2
71,21,17,2,positive,dataset1
71,21,22,1,positive,dataset2
71,21,26,1,positive,dataset1;dataset2
71,21,34,1,positive,dataset2
71,24,16,1,positive,dataset1
71,31,24,2,positive,dataset1
71,35,34,1,positive,dataset2
71,39,6,1,positive,dataset1;dataset2
71,39,6,2,positive,dataset2
71,39,26,1,positive,dataset1;dataset2
71,39,34,1,positive,dataset2
71,41,17,1,positive,dataset2
71,42,1,1,positive,dataset1
71,42,23,1,positive,dataset2
71,47,4,1,positive,dataset1
71,58,12,1,positive,dataset2
71,60,2,1,positive,dataset2
71,60,6,1,positive,dataset2
71,60,22,1,positive,dataset1;dataset2
71,60,36,1,positive,dataset2
71,68,1,1,positive,dataset1
71,73,2,1,positive,dataset1;dataset2
71,84,34,1,positive,dataset2
72,21,15,1,positive,dataset1
73,3,6,1,positive,dataset1
73,21,15,1,positive,dataset1
73,21,17,2,positive,dataset1
73,21,20,2,positive,dataset1
73,60,22,1,positive,dataset1
73,75,10,2,positive,dataset1
74,21,26,1,positive,dataset1
74,39,26,1,positive,dataset1
75,42,23,1,positive,dataset1
76,3,13,1,positive,dataset2
76,3,37,1,positive,dataset2
76,21,15,2,positive,dataset2
76,21,22,2,positive,dataset2
76,60,22,1,positive,dataset1
76,60,22,2,positive,dataset2
76,149,37,1,positive,dataset2
77,21,3,2,positive,dataset1
77,21,22,1,positive,dataset2
77,21,26,1,positive,dataset2
77,21,26,2,positive,dataset1
77,22,17,2,positive,dataset2
77,58,12,1,positive,dataset1
77,60,22,1,positive,dataset2
77,60,26,1,positive,dataset2
77,60,26,2,positive,dataset1
78,21,22,2,positive,dataset2
78,60,22,1,positive,dataset1
78,60,22,2,positive,dataset2
78,75,28,1,positive,dataset2
79,84,5,1,positive,dataset1
80,3,21,1,positive,dataset1
80,3,21,2,positive,dataset2
80,21,21,1,positive,dataset1
80,21,21,2,positive,dataset2
80,52,21,1,positive,dataset1
80,52,21,2,positive,dataset2
81,39,6,1,positive,dataset1
82,21,1,1,positive,dataset1
83,3,21,1,positive,dataset1;dataset2
83,21,21,1,positive,dataset1;dataset2
83,52,21,1,positive,dataset1;dataset2
84,39,6,1,positive,dataset1
85,3,21,2,positive,dataset1
86,60,17,1,positive,dataset1
87,3,2,1,positive,dataset1
88,3,21,1,positive,dataset1
88,21,21,1,positive,dataset1
88,52,21,1,positive,dataset1
89,3,2,1,positive,dataset1;dataset2
90,57,15,1,positive,dataset2
90,57,17,1,positive,dataset1
91,3,2,1,positive,dataset1;dataset2
92,3,21,1,positive,dataset1
92,3,21,2,positive,dataset2
92,21,21,1,positive,dataset1
92,21,21,2,positive,dataset2
92,52,21,1,positive,dataset1
92,52,21,2,positive,dataset2
93,60,17,1,positive,dataset1
93,60,17,2,positive,dataset2
94,3,21,1,positive,dataset1
94,21,21,1,positive,dataset1
94,52,21,1,positive,dataset1
95,3,2,1,positive,dataset1;dataset2
96,3,2,1,positive,dataset1;dataset2
97,3,2,1,positive,dataset1
97,3,2,2,positive,dataset2
98,41,17,1,positive,dataset1
99,3,21,1,positive,dataset1
99,21,21,1,positive,dataset1
99,52,21,1,positive,dataset1
100,3,21,1,positive,dataset1;dataset2
100,21,21,1,positive,dataset1;dataset2
100,46,21,1,positive,dataset1
100,52,21,1,positive,dataset1;dataset2
101,60,17,1,positive,dataset1;dataset2
102,3,2,1,positive,dataset1
102,3,2,2,positive,dataset2
103,3,21,1,positive,dataset1
103,3,21,2,positive,dataset2
103,21,21,1,positive,dataset1
103,21,21,2,positive,dataset2
103,52,21,1,positive,dataset1
103,52,21,2,positive,dataset2
104,60,17,1,positive,dataset1;dataset2
105,3,21,1,positive,dataset1;dataset2
105,21,21,1,positive,dataset1;dataset2
105,21,35,2,positive,dataset2
105,52,21,1,positive,dataset1;dataset2
106,39,6,1,positive,dataset1
107,3,21,1,positive,dataset1
107,21,21,1,positive,dataset1
107,52,21,1,positive,dataset1
108,39,6,1,positive,dataset1
109,3,21,1,positive,dataset1
109,3,21,2,positive,dataset2
109,21,21,1,positive,dataset1
109,21,21,2,positive,dataset2
109,52,21,1,positive,dataset1
109,52,21,2,positive,dataset2
110,3,2,1,positive,dataset1;dataset2
111,60,17,1,positive,dataset1
111,60,17,2,positive,dataset2
112,3,21,1,positive,dataset1
112,21,21,1,positive,dataset1
112,52,21,1,positive,dataset1
113,3,2,1,positive,dataset1
113,3,2,2,positive,dataset2
114,39,6,1,positive,dataset1
115,39,6,1,positive,dataset1
116,3,2,1,positive,dataset1
116,3,2,2,positive,dataset2
116,21,30,1,positive,dataset2
117,3,2,1,positive,dataset1
118,3,2,1,positive,dataset1
119,39,6,1,positive,dataset1
120,39,6,1,positive,dataset1
121,60,17,1,positive,dataset1
122,60,17,1,positive,dataset1
123,60,17,1,positive,dataset1
124,60,17,1,positive,dataset1
125,60,17,1,positive,dataset1
126,3,21,1,positive,dataset1
126,21,21,1,positive,dataset1
126,52,21,1,positive,dataset1
127,3,2,1,positive,dataset1
128,57,17,1,positive,dataset1
129,60,17,1,positive,dataset1
130,39,6,1,positive,dataset1
131,60,17,1,positive,dataset1
132,60,17,1,positive,dataset1
133,57,17,1,positive,dataset1
134,60,17,1,positive,dataset1
135,73,2,1,positive,dataset1
136,60,17,1,positive,dataset1
137,60,17,1,positive,dataset1
138,60,17,1,positive,dataset1
139,60,17,1,positive,dataset1
140,60,17,1,positive,dataset1
141,60,17,1,positive,dataset1
142,60,17,1,positive,dataset1
143,60,17,1,positive,dataset1
144,57,17,1,positive,dataset1
145,57,17,1,positive,dataset1
146,60,17,1,positive,dataset1
147,60,17,1,positive,dataset1
148,3,2,1,positive,dataset1
149,39,6,1,positive,dataset1
150,57,17,1,positive,dataset1
151,57,17,1,positive,dataset1
152,57,17,1,positive,dataset1
153,60,17,1,positive,dataset1
154,60,17,1,positive,dataset1
155,60,17,1,positive,dataset1
156,3,21,1,positive,dataset1
156,21,21,1,positive,dataset1
156,52,21,1,positive,dataset1
157,60,17,1,positive,dataset1
158,60,17,1,positive,dataset1
159,3,21,1,positive,dataset1
159,21,21,1,positive,dataset1
159,52,21,1,positive,dataset1
160,60,17,1,positive,dataset1
161,60,17,1,positive,dataset1
162,60,17,1,positive,dataset1
163,3,21,1,positive,dataset1
163,21,21,1,positive,dataset1
163,46,21,1,positive,dataset1
163,52,21,1,positive,dataset1
164,57,17,1,positive,dataset1
165,57,17,1,positive,dataset1
166,60,17,1,positive,dataset1
167,60,17,1,positive,dataset1
168,60,17,1,positive,dataset1
169,39,6,1,positive,dataset1
170,39,6,1,positive,dataset1
171,60,17,1,positive,dataset1
172,3,21,1,positive,dataset1
172,21,21,1,positive,dataset1
172,52,21,1,positive,dataset1
173,3,21,1,positive,dataset1
173,21,21,1,positive,dataset1
173,52,21,1,positive,dataset1
174,39,6,1,positive,dataset1
175,39,6,1,positive,dataset1
176,3,2,1,positive,dataset1
177,3,2,1,positive,dataset1
178,3,2,1,positive,dataset1
179,39,6,1,positive,dataset1
180,60,17,1,positive,dataset1
181,60,17,1,positive,dataset1
182,60,17,1,positive,dataset1
183,60,17,1,positive,dataset1
184,3,2,1,positive,dataset1
185,3,2,2,positive,dataset1
185,6,0,2,positive,dataset1
186,41,17,1,positive,dataset1
186,42,23,2,positive,dataset1
187,21,22,1,positive,dataset1
187,34,15,2,positive,dataset1
187,41,17,2,positive,dataset1
187,42,23,2,positive,dataset1
188,3,11,2,positive,dataset1
188,21,11,2,positive,dataset1
188,39,11,2,positive,dataset1
188,42,23,2,positive,dataset1
188,60,11,2,positive,dataset1
189,3,2,1,positive,dataset1
189,21,22,1,positive,dataset1
189,42,23,2,positive,dataset1
189,60,22,1,positive,dataset1
190,3,13,1,positive,dataset1
191,1,26,1,positive,dataset1
191,3,13,1,positive,dataset1
191,39,12,2,positive,dataset1
192,21,15,2,positive,dataset1
192,39,26,1,positive,dataset1
192,47,4,1,positive,dataset1
192,58,26,1,positive,dataset1
192,73,2,2,positive,dataset1
193,3,8,1,positive,dataset1
194,3,26,2,positive,dataset1
194,84,26,2,positive,dataset1
195,3,26,1,positive,dataset1
195,21,17,2,positive,dataset1
195,41,9,2,positive,dataset1
195,84,26,1,positive,dataset1
196,3,11,1,positive,dataset1
196,3,21,2,positive,dataset1
196,21,2,2,positive,dataset1
196,21,11,1,positive,dataset1
196,21,22,2,positive,dataset1
196,21,23,2,positive,dataset1
196,31,15,2,positive,dataset1
196,39,11,1,positive,dataset1
196,42,23,1,positive,dataset1
196,52,11,1,positive,dataset1
196,60,2,2,positive,dataset1
196,60,11,1,positive,dataset1
196,83,18,2,positive,dataset1
197,84,5,1,positive,dataset1
198,3,26,1,positive,dataset1
198,21,16,1,positive,dataset1
198,84,5,1,positive,dataset1
198,84,26,1,positive,dataset1
199,3,11,1,positive,dataset1
199,3,12,2,positive,dataset1
199,3,14,1,positive,dataset1
199,3,21,2,positive,dataset1
199,21,1,2,positive,dataset1
199,21,5,2,positive,dataset1
199,21,11,1,positive,dataset1
199,21,17,2,positive,dataset1
199,21,26,2,positive,dataset1
199,39,5,2,positive,dataset1
199,39,11,1,positive,dataset1
199,39,12,2,positive,dataset1
199,42,23,2,positive,dataset1
199,47,4,2,positive,dataset1
199,52,11,1,positive,dataset1
199,60,11,1,positive,dataset1
199,84,26,2,positive,dataset1
200,42,23,2,positive,dataset1
200,54,2,1,positive,dataset1
201,84,5,1,positive,dataset1
202,3,13,1,positive,dataset1
203,21,2,1,positive,dataset1
204,3,26,1,positive,dataset1
204,21,17,1,positive,dataset1
204,21,17,2,positive,dataset1
204,21,22,1,positive,dataset1
204,21,26,1,positive,dataset1
204,28,16,2,positive,dataset1
204,39,6,1,positive,dataset1
204,42,17,2,positive,dataset1
204,60,22,1,positive,dataset1
204,69,16,2,positive,dataset1
204,84,26,1,positive,dataset1
205,21,2,1,positive,dataset1
205,31,2,1,positive,dataset1
205,60,2,1,positive,dataset1
206,21,17,1,positive,dataset1
207,3,26,2,positive,dataset1
207,21,17,2,positive,dataset1
207,39,26,2,positive,dataset1
207,58,26,2,positive,dataset1
207,60,2,2,positive,dataset1
207,60,17,2,positive,dataset1
207,60,22,1,positive,dataset1
207,60,26,2,positive,dataset1
207,62,17,2,positive,dataset1
208,21,16,2,positive,dataset1
208,42,23,1,positive,dataset1
209,39,6,1,positive,dataset1
209,39,26,1,positive,dataset1
209,42,23,1,positive,dataset1
209,73,2,1,positive,dataset1
210,21,1,2,positive,dataset1
211,41,17,1,positive,dataset1
212,60,20,2,positive,dataset1
213,42,23,2,positive,dataset1
214,42,23,2,positive,dataset1
215,3,12,2,positive,dataset1
215,39,5,2,positive,dataset1
215,58,6,2,positive,dataset1
215,58,12,2,positive,dataset1
215,71,12,2,positive,dataset1
215,84,12,2,positive,dataset1
216,39,26,1,positive,dataset1
217,3,14,2,positive,dataset1
