sample_id,ncrna_id,drug_id,disease_id,label,split_role,source_dataset
164,26,73,2,2,positive,dataset1
165,26,75,10,2,positive,dataset1
166,26,75,28,1,positive,dataset2
167,26,75,28,2,positive,dataset2
168,26,84,13,1,positive,dataset1
169,26,84,19,1,positive,dataset2
170,26,84,26,1,positive,dataset2
171,26,90,12,2,positive,dataset2
172,26,91,44,2,positive,dataset2
173,26,92,44,2,positive,dataset2
174,27,21,22,1,positive,dataset2
175,27,60,22,1,positive,dataset1;dataset2
176,28,3,30,1,positive,dataset2
177,28,21,1,1,positive,dataset1
178,28,57,15,1,positive,dataset2
179,29,3,0,1,positive,dataset2
180,29,3,2,1,positive,dataset2
181,29,3,2,2,positive,dataset1
182,29,3,26,1,positive,dataset2
183,29,18,22,1,positive,dataset1
184,29,21,6,1,positive,dataset2
185,29,21,12,2,positive,dataset1
186,29,21,15,1,positive,dataset2
187,29,21,15,2,positive,dataset1
188,29,21,16,2,positive,dataset1
189,29,21,17,1,positive,dataset1;dataset2
190,29,21,21,1,positive,dataset2
191,29,21,22,1,positive,dataset1;dataset2
192,29,21,26,1,positive,dataset2
193,29,21,26,2,positive,dataset1
194,29,21,36,2,positive,dataset2
195,29,22,17,1,positive,dataset2
196,29,22,17,2,positive,dataset1
197,29,30,19,1,positive,dataset2
198,29,39,8,1,positive,dataset2
199,29,39,26,1,positive,dataset2
200,29,39,26,2,positive,dataset1;dataset2
201,29,41,16,1,positive,dataset1
202,29,41,17,1,positive,dataset2
203,29,41,17,2,positive,dataset2
204,29,42,23,1,positive,dataset1;dataset2
205,29,43,24,2,positive,dataset1
206,29,47,38,1,positive,dataset2
207,29,53,26,1,positive,dataset2
208,29,58,26,2,positive,dataset2
209,29,60,6,1,positive,dataset2
210,29,60,12,1,positive,dataset2
211,29,60,22,1,positive,dataset2
212,29,60,24,1,positive,dataset2
213,29,66,3,2,positive,dataset1
214,29,71,12,1,positive,dataset2
215,29,72,25,1,positive,dataset2
216,29,73,2,1,positive,dataset1
217,29,73,2,2,positive,dataset2
218,29,75,28,1,positive,dataset2
219,29,75,28,2,positive,dataset2
220,29,84,26,1,positive,dataset2
221,29,94,36,1,positive,dataset2
222,30,3,8,1,positive,dataset2
223,30,3,30,1,positive,dataset2
224,30,21,22,1,positive,dataset2
225,30,21,23,1,positive,dataset2
226,30,21,24,1,positive,dataset2
227,30,21,26,1,positive,dataset2
228,30,21,30,1,positive,dataset2
229,30,35,30,1,positive,dataset2
230,30,53,6,1,positive,dataset2
231,30,60,15,1,positive,dataset1;dataset2
232,30,71,12,1,positive,dataset2
233,30,75,28,2,positive,dataset2
234,31,3,26,2,positive,dataset1
235,31,21,26,1,positive,dataset2
236,31,21,26,2,positive,dataset1
237,31,39,12,1,positive,dataset1
238,31,39,26,2,positive,dataset1
239,31,58,12,1,positive,dataset1;dataset2
240,31,58,12,2,positive,dataset2
241,31,60,36,1,positive,dataset2
242,31,63,12,1,positive,dataset1
243,32,3,0,1,positive,dataset1;dataset2
244,32,3,2,1,positive,dataset2
245,32,65,45,1,positive,dataset2
246,32,71,12,1,positive,dataset2
247,33,21,22,2,positive,dataset2
248,33,60,22,1,positive,dataset1
249,33,60,22,2,positive,dataset2
250,33,75,28,1,positive,dataset2
251,34,21,21,2,positive,dataset1;dataset2
252,34,21,22,1,positive,dataset2
253,35,3,0,1,positive,dataset1;dataset2
254,36,21,5,2,positive,dataset1;dataset2
255,36,39,8,2,positive,dataset1
256,36,42,23,2,positive,dataset2
257,36,52,6,1,positive,dataset2
258,36,60,36,2,positive,dataset2
259,37,41,15,1,positive,dataset2
260,37,41,17,1,positive,dataset1;dataset2
261,37,75,28,1,positive,dataset2
262,38,3,0,1,positive,dataset2
263,38,39,6,1,positive,dataset2
264,38,58,12,1,positive,dataset1
265,38,75,28,2,positive,dataset2
266,39,21,21,2,positive,dataset2
267,39,21,22,1,positive,dataset2
268,39,60,6,1,positive,dataset2
269,39,60,6,2,positive,dataset1
270,39,75,28,2,positive,dataset2
271,40,21,31,1,positive,dataset2
272,40,60,2,1,positive,dataset2
273,40,60,2,2,positive,dataset1
274,40,60,3,2,positive,dataset1
275,40,60,31,1,positive,dataset2
276,40,75,28,1,positive,dataset2
277,41,51,19,1,positive,dataset1;dataset2
278,42,21,22,2,positive,dataset2
279,42,60,22,1,positive,dataset1
280,42,60,22,2,positive,dataset2
281,43,3,2,1,positive,dataset1;dataset2
282,43,39,2,1,positive,dataset1;dataset2
283,43,73,2,1,positive,dataset2
284,44,21,9,1,positive,dataset1
285,44,39,9,1,positive,dataset1
286,45,3,2,2,positive,dataset2
287,45,3,6,1,positive,dataset2
288,45,15,6,1,positive,dataset2
289,45,21,17,1,positive,dataset2
290,45,39,6,1,positive,dataset2
291,45,52,21,1,positive,dataset1;dataset2
292,45,58,6,1,positive,dataset2
293,46,39,26,1,positive,dataset1;dataset2
294,46,58,26,1,positive,dataset1;dataset2
295,47,3,2,1,positive,dataset2
296,47,3,12,1,positive,dataset2
297,47,3,17,1,positive,dataset1;dataset2
298,47,3,19,1,positive,dataset2
299,47,6,0,1,positive,dataset2
300,47,12,19,1,positive,dataset2
301,47,21,16,1,positive,dataset1
302,47,21,17,1,positive,dataset1;dataset2
303,47,21,17,2,positive,dataset2
304,47,21,22,1,positive,dataset2
305,47,21,26,1,positive,dataset1;dataset2
306,47,21,31,1,positive,dataset2
307,47,32,24,1,positive,dataset2
308,47,39,6,1,positive,dataset2
309,47,39,12,1,positive,dataset2
310,47,39,14,2,positive,dataset1
311,47,39,26,1,positive,dataset1;dataset2
312,47,41,15,1,positive,dataset2
313,47,41,16,1,positive,dataset1
314,47,41,17,1,positive,dataset1;dataset2
315,47,41,17,2,positive,dataset1
316,47,47,4,2,positive,dataset1
317,47,53,12,1,positive,dataset2
318,47,57,17,1,positive,dataset2
319,47,58,6,1,positive,dataset2
320,47,58,6,2,positive,dataset1
321,47,58,26,1,positive,dataset2
322,47,59,6,1,positive,dataset1
323,47,60,17,1,positive,dataset1;dataset2
324,47,60,31,1,positive,dataset2
325,47,71,12,1,positive,dataset2
326,47,72,25,1,positive,dataset2
327,47,73,2,2,positive,dataset2
328,47,74,2,1,positive,dataset2
329,47,75,28,1,positive,dataset2
330,47,84,26,1,positive,dataset2
331,47,84,26,2,positive,dataset1
332,47,85,12,1,positive,dataset2
333,48,3,0,2,positive,dataset2
334,48,3,2,2,positive,dataset2
335,48,21,10,1,positive,dataset2
336,48,21,10,2,positive,dataset1
337,48,21,15,1,positive,dataset1
338,48,21,17,2,positive,dataset1;dataset2
339,48,21,22,1,positive,dataset2
340,48,21,30,1,positive,dataset2
341,48,22,17,1,positive,dataset2
342,48,39,2,2,positive,dataset2
343,48,42,17,2,positive,dataset2
344,48,42,23,1,positive,dataset1
345,48,42,23,2,positive,dataset2
346,48,47,4,2,positive,dataset1
347,48,58,6,2,positive,dataset1;dataset2
348,48,60,2,1,positive,dataset2
349,48,60,2,2,positive,dataset2
350,48,60,16,2,positive,dataset1
351,48,60,36,2,positive,dataset2
352,48,75,10,2,positive,dataset1
353,48,75,28,2,positive,dataset2
354,48,84,0,2,positive,dataset2
355,48,84,17,2,positive,dataset2
356,48,90,2,2,positive,dataset2
357,48,95,17,1,positive,dataset2
358,49,21,22,1,positive,dataset1
359,50,41,17,1,positive,dataset1
360,50,42,23,2,positive,dataset2
361,51,3,12,1,positive,dataset2
362,51,3,26,1,positive,dataset2
363,51,3,26,2,positive,dataset1
364,51,3,49,1,positive,dataset2
365,51,12,19,1,positive,dataset2
366,51,21,2,1,positive,dataset1;dataset2
367,51,21,16,2,positive,dataset1
368,51,21,17,2,positive,dataset2
369,51,21,20,2,positive,dataset1
370,51,21,21,1,positive,dataset1;dataset2
371,51,21,22,1,positive,dataset2
372,51,21,37,1,positive,dataset2
373,51,30,19,1,positive,dataset2
374,51,30,19,2,positive,dataset1
375,51,31,24,1,positive,dataset2
376,51,39,2,1,positive,dataset2
377,51,39,2,2,positive,dataset1
378,51,39,6,1,positive,dataset2
379,51,39,12,1,positive,dataset2
380,51,41,17,1,positive,dataset2
381,51,42,23,1,positive,dataset2
382,51,47,4,2,positive,dataset1
383,51,58,26,1,positive,dataset2
384,51,60,2,1,positive,dataset1;dataset2
385,51,60,17,1,positive,dataset2
386,51,60,17,2,positive,dataset1
387,51,60,22,1,positive,dataset1
388,51,60,36,1,positive,dataset2
389,51,60,37,1,positive,dataset2
390,51,71,12,1,positive,dataset2
391,51,71,12,2,positive,dataset1
392,51,73,2,1,positive,dataset2
393,51,75,28,1,positive,dataset2
394,51,84,5,1,positive,dataset1
395,51,84,26,1,positive,dataset2
396,51,85,12,1,positive,dataset2
397,51,120,17,1,positive,dataset2
398,51,148,17,1,positive,dataset2
399,52,8,12,2,positive,dataset1
400,53,21,22,1,positive,dataset2
401,53,58,12,1,positive,dataset1;dataset2
402,54,21,12,1,positive,dataset1;dataset2
403,55,21,22,2,positive,dataset2
404,55,60,22,1,positive,dataset1
405,55,60,22,2,positive,dataset2
406,56,3,21,1,positive,dataset2
407,56,21,21,1,positive,dataset1;dataset2
408,56,21,22,2,positive,dataset2
409,56,58,5,1,positive,dataset2
410,56,60,22,1,positive,dataset1
411,56,60,22,2,positive,dataset2
412,56,75,28,1,positive,dataset2
413,57,21,2,1,positive,dataset2
414,57,21,22,1,positive,dataset2
415,57,41,9,1,positive,dataset1
416,58,12,19,1,positive,dataset2
417,58,21,26,1,positive,dataset2
418,58,39,6,1,positive,dataset2
419,58,41,17,1,positive,dataset2
420,58,56,24,2,positive,dataset1
421,58,82,24,2,positive,dataset1
422,59,3,24,1,positive,dataset1
423,59,8,24,1,positive,dataset2
424,59,21,15,1,positive,dataset2
425,59,58,12,1,positive,dataset2
426,60,3,2,1,positive,dataset2
427,60,3,21,1,positive,dataset1
428,60,18,22,2,positive,dataset1
429,60,21,3,2,positive,dataset1
430,60,21,6,1,positive,dataset1;dataset2
431,60,21,22,1,positive,dataset1;dataset2
432,60,21,26,1,positive,dataset1;dataset2
433,60,31,22,2,positive,dataset1
434,60,39,6,1,positive,dataset1;dataset2
435,60,39,26,1,positive,dataset1;dataset2
436,60,39,26,2,positive,dataset2
437,60,42,21,1,positive,dataset1;dataset2
438,60,42,23,1,positive,dataset2
439,60,42,23,2,positive,dataset1
440,60,58,26,2,positive,dataset2
441,60,60,3,2,positive,dataset1
442,60,60,10,1,positive,dataset2
443,60,60,10,2,positive,dataset1
444,60,60,26,1,positive,dataset1;dataset2
445,60,60,36,1,positive,dataset2
446,60,75,28,2,positive,dataset2
447,61,21,15,2,positive,dataset2
448,61,21,22,2,positive,dataset2
449,61,60,22,1,positive,dataset1
450,61,60,22,2,positive,dataset2
451,62,21,22,2,positive,dataset2
452,62,60,22,1,positive,dataset1
453,62,60,22,2,positive,dataset2
454,63,3,0,1,positive,dataset2
455,63,21,22,2,positive,dataset2
456,63,21,26,1,positive,dataset1;dataset2
457,63,39,26,2,positive,dataset2
458,63,41,15,2,positive,dataset1;dataset2
459,63,47,4,1,positive,dataset1
460,63,58,12,1,positive,dataset1
461,63,58,26,2,positive,dataset2
462,63,60,22,1,positive,dataset1
463,63,60,22,2,positive,dataset2
464,63,75,28,2,positive,dataset2
465,64,84,5,1,positive,dataset1
466,65,31,24,1,positive,dataset2
467,65,31,24,2,positive,dataset1
468,65,75,28,1,positive,dataset2
469,66,3,2,1,positive,dataset2
470,66,3,13,1,positive,dataset2
471,66,21,17,2,positive,dataset1;dataset2
472,66,21,22,2,positive,dataset2
473,66,60,22,1,positive,dataset1
474,66,60,22,2,positive,dataset2
475,66,75,28,1,positive,dataset2
476,66,75,28,2,positive,dataset2
477,67,21,12,2,positive,dataset1
478,68,21,17,1,positive,dataset2
479,68,21,17,2,positive,dataset1
480,68,21,22,1,positive,dataset2
481,69,3,0,1,positive,dataset1;dataset2
482,69,3,21,1,positive,dataset2
483,69,3,30,1,positive,dataset2
484,69,6,0,1,positive,dataset2
485,69,21,2,2,positive,dataset1
486,69,21,6,1,positive,dataset2
487,69,21,9,1,positive,dataset1
488,69,21,17,2,positive,dataset2
489,69,21,21,1,positive,dataset2
490,69,21,30,1,positive,dataset2
491,69,21,37,2,positive,dataset2
492,69,35,30,1,positive,dataset2
493,69,39,29,1,positive,dataset2
494,69,42,29,1,positive,dataset2
495,69,52,6,1,positive,dataset2
496,69,52,6,2,positive,dataset1
497,69,73,2,1,positive,dataset2
498,69,75,10,2,positive,dataset2
499,70,21,9,2,positive,dataset1
500,70,21,36,2,positive,dataset2
501,70,39,9,2,positive,dataset1
502,70,60,36,2,positive,dataset2
503,70,75,28,2,positive,dataset2
504,71,3,0,1,positive,dataset2
505,71,3,0,2,positive,dataset1
506,71,3,26,1,positive,dataset1;dataset2
507,71,18,34,1,positive,dataset2
508,71,21,1,1,positive,dataset1
509,71,21,3,1,positive,dataset1
510,71,21,15,1,positive,dataset1;dataset2
511,71,21,17,1,positive,dataset2
512,71,21,17,2,positive,dataset1
513,71,21,22,1,positive,dataset2
514,71,21,26,1,positive,dataset1;dataset2
515,71,21,34,1,positive,dataset2
516,71,24,16,1,positive,dataset1
517,71,31,24,2,positive,dataset1
518,71,35,34,1,positive,dataset2
519,71,39,6,1,positive,dataset1;dataset2
520,71,39,6,2,positive,dataset2
521,71,39,26,1,positive,dataset1;dataset2
522,71,39,34,1,positive,dataset2
523,71,41,17,1,positive,dataset2
524,71,42,1,1,positive,dataset1
525,71,42,23,1,positive,dataset2
526,71,47,4,1,positive,dataset1
527,71,58,12,1,positive,dataset2
528,71,60,2,1,positive,dataset2
529,71,60,6,1,positive,dataset2
530,71,60,22,1,positive,dataset1;dataset2
531,71,60,36,1,positive,dataset2
532,71,68,1,1,positive,dataset1
533,71,73,2,1,positive,dataset1;dataset2
534,71,84,34,1,positive,dataset2
535,72,21,15,1,positive,dataset1
536,73,3,6,1,positive,dataset1
537,73,21,15,1,positive,dataset1
538,73,21,17,2,positive,dataset1
539,73,21,20,2,positive,dataset1
540,73,60,22,1,positive,dataset1
541,73,75,10,2,positive,dataset1
542,74,21,26,1,positive,dataset1
543,74,39,26,1,positive,dataset1
544,75,42,23,1,positive,dataset1
545,76,3,13,1,positive,dataset2
546,76,3,37,1,positive,dataset2
547,76,21,15,2,positive,dataset2
548,76,21,22,2,positive,dataset2
549,76,60,22,1,positive,dataset1
550,76,60,22,2,positive,dataset2
551,76,149,37,1,positive,dataset2
552,77,21,3,2,positive,dataset1
553,77,21,22,1,positive,dataset2
554,77,21,26,1,positive,dataset2
555,77,21,26,2,positive,dataset1
556,77,22,17,2,positive,dataset2
557,77,58,12,1,positive,dataset1
558,77,60,22,1,positive,dataset2
559,77,60,26,1,positive,dataset2
560,77,60,26,2,positive,dataset1
561,78,21,22,2,positive,dataset2
562,78,60,22,1,positive,dataset1
563,78,60,22,2,positive,dataset2
564,78,75,28,1,positive,dataset2
565,79,84,5,1,positive,dataset1
566,80,3,21,1,positive,dataset1
567,80,3,21,2,positive,dataset2
568,80,21,21,1,positive,dataset1
569,80,21,21,2,positive,dataset2
570,80,52,21,1,positive,dataset1
571,80,52,21,2,positive,dataset2
572,81,39,6,1,positive,dataset1
573,82,21,1,1,positive,dataset1
574,83,3,21,1,positive,dataset1;dataset2
575,83,21,21,1,positive,dataset1;dataset2
576,83,52,21,1,positive,dataset1;dataset2
577,84,39,6,1,positive,dataset1
578,85,3,21,2,positive,dataset1
579,86,60,17,1,positive,dataset1
580,87,3,2,1,positive,dataset1
581,88,3,21,1,positive,dataset1
582,88,21,21,1,positive,dataset1
583,88,52,21,1,positive,dataset1
584,89,3,2,1,positive,dataset1;dataset2
585,90,57,15,1,positive,dataset2
586,90,57,17,1,positive,dataset1
587,91,3,2,1,positive,dataset1;dataset2
588,92,3,21,1,positive,dataset1
589,92,3,21,2,positive,dataset2
590,92,21,21,1,positive,dataset1
591,92,21,21,2,positive,dataset2
592,92,52,21,1,positive,dataset1
593,92,52,21,2,positive,dataset2
594,93,60,17,1,positive,dataset1
595,93,60,17,2,positive,dataset2
596,94,3,21,1,positive,dataset1
597,94,21,21,1,positive,dataset1
598,94,52,21,1,positive,dataset1
599,95,3,2,1,positive,dataset1;dataset2
600,96,3,2,1,positive,dataset1;dataset2
601,97,3,2,1,positive,dataset1
602,97,3,2,2,positive,dataset2
603,98,41,17,1,positive,dataset1
604,99,3,21,1,positive,dataset1
605,99,21,21,1,positive,dataset1
606,99,52,21,1,positive,dataset1
607,100,3,21,1,positive,dataset1;dataset2
608,100,21,21,1,positive,dataset1;dataset2
609,100,46,21,1,positive,dataset1
610,100,52,21,1,positive,dataset1;dataset2
611,101,60,17,1,positive,dataset1;dataset2
612,102,3,2,1,positive,dataset1
613,102,3,2,2,positive,dataset2
614,103,3,21,1,positive,dataset1
615,103,3,21,2,positive,dataset2
616,103,21,21,1,positive,dataset1
617,103,21,21,2,positive,dataset2
618,103,52,21,1,positive,dataset1
619,103,52,21,2,positive,dataset2
620,104,60,17,1,positive,dataset1;dataset2
621,105,3,21,1,positive,dataset1;dataset2
622,105,21,21,1,positive,dataset1;dataset2
623,105,21,35,2,positive,dataset2
624,105,52,21,1,positive,dataset1;dataset2
625,106,39,6,1,positive,dataset1
626,107,3,21,1,positive,dataset1
627,107,21,21,1,positive,dataset1
628,107,52,21,1,positive,dataset1
629,108,39,6,1,positive,dataset1
630,109,3,21,1,positive,dataset1
631,109,3,21,2,positive,dataset2
632,109,21,21,1,positive,dataset1
633,109,21,21,2,positive,dataset2
634,109,52,21,1,positive,dataset1
635,109,52,21,2,positive,dataset2
636,110,3,2,1,positive,dataset1;dataset2
637,111,60,17,1,positive,dataset1
638,111,60,17,2,positive,dataset2
639,112,3,21,1,positive,dataset1
640,112,21,21,1,positive,dataset1
641,112,52,21,1,positive,dataset1
642,113,3,2,1,positive,dataset1
643,113,3,2,2,positive,dataset2
644,114,39,6,1,positive,dataset1
645,115,39,6,1,positive,dataset1
646,116,3,2,1,positive,dataset1
647,116,3,2,2,positive,dataset2
648,116,21,30,1,positive,dataset2
649,117,3,2,1,positive,dataset1
650,118,3,2,1,positive,dataset1
651,119,39,6,1,positive,dataset1
652,120,39,6,1,positive,dataset1
653,121,60,17,1,positive,dataset1
654,122,60,17,1,positive,dataset1
655,123,60,17,1,positive,dataset1
656,124,60,17,1,positive,dataset1
657,125,60,17,1,positive,dataset1
658,126,3,21,1,positive,dataset1
659,126,21,21,1,positive,dataset1
660,126,52,21,1,positive,dataset1
661,127,3,2,1,positive,dataset1
662,128,57,17,1,positive,dataset1
663,129,60,17,1,positive,dataset1
664,130,39,6,1,positive,dataset1
665,131,60,17,1,positive,dataset1
666,132,60,17,1,positive,dataset1
667,133,57,17,1,positive,dataset1
668,134,60,17,1,positive,dataset1
669,135,73,2,1,positive,dataset1
670,136,60,17,1,positive,dataset1
671,137,60,17,1,positive,dataset1
672,138,60,17,1,positive,dataset1
673,139,60,17,1,positive,dataset1
674,140,60,17,1,positive,dataset1
675,141,60,17,1,positive,dataset1
676,142,60,17,1,positive,dataset1
677,143,60,17,1,positive,dataset1
678,144,57,17,1,positive,dataset1
679,145,57,17,1,positive,dataset1
680,146,60,17,1,positive,dataset1
681,147,60,17,1,positive,dataset1
682,148,3,2,1,positive,dataset1
683,149,39,6,1,positive,dataset1
684,150,57,17,1,positive,dataset1
685,151,57,17,1,positive,dataset1
686,152,57,17,1,positive,dataset1
687,153,60,17,1,positive,dataset1
688,154,60,17,1,positive,dataset1
689,155,60,17,1,positive,dataset1
690,156,3,21,1,positive,dataset1
691,156,21,21,1,positive,dataset1
692,156,52,21,1,positive,dataset1
693,157,60,17,1,positive,dataset1
694,158,60,17,1,positive,dataset1
695,159,3,21,1,positive,dataset1
696,159,21,21,1,positive,dataset1
697,159,52,21,1,positive,dataset1
698,160,60,17,1,positive,dataset1
699,161,60,17,1,positive,dataset1
700,162,60,17,1,positive,dataset1
701,163,3,21,1,positive,dataset1
702,163,21,21,1,positive,dataset1
703,163,46,21,1,positive,dataset1
704,163,52,21,1,positive,dataset1
705,164,57,17,1,positive,dataset1
706,165,57,17,1,positive,dataset1
707,166,60,17,1,positive,dataset1
708,167,60,17,1,positive,dataset1
709,168,60,17,1,positive,dataset1
710,169,39,6,1,positive,dataset1
711,170,39,6,1,positive,dataset1
712,171,60,17,1,positive,dataset1
713,172,3,21,1,positive,dataset1
714,172,21,21,1,positive,dataset1
715,172,52,21,1,positive,dataset1
716,173,3,21,1,positive,dataset1
717,173,21,21,1,positive,dataset1
718,173,52,21,1,positive,dataset1
719,174,39,6,1,positive,dataset1
720,175,39,6,1,positive,dataset1
721,176,3,2,1,positive,dataset1
722,177,3,2,1,positive,dataset1
723,178,3,2,1,positive,dataset1
724,179,39,6,1,positive,dataset1
725,180,60,17,1,positive,dataset1
726,181,60,17,1,positive,dataset1
727,182,60,17,1,positive,dataset1
728,183,60,17,1,positive,dataset1
729,184,3,2,1,positive,dataset1
730,185,3,2,2,positive,dataset1
731,185,6,0,2,positive,dataset1
732,186,41,17,1,positive,dataset1
733,186,42,23,2,positive,dataset1
734,187,21,22,1,positive,dataset1
735,187,34,15,2,positive,dataset1
736,187,41,17,2,positive,dataset1
737,187,42,23,2,positive,dataset1
738,188,3,11,2,positive,dataset1
739,188,21,11,2,positive,dataset1
740,188,39,11,2,positive,dataset1
741,188,42,23,2,positive,dataset1
742,188,60,11,2,positive,dataset1
743,189,3,2,1,positive,dataset1
744,189,21,22,1,positive,dataset1
745,189,42,23,2,positive,dataset1
746,189,60,22,1,positive,dataset1
747,190,3,13,1,positive,dataset1
748,191,1,26,1,positive,dataset1
749,191,3,13,1,positive,dataset1
750,191,39,12,2,positive,dataset1
751,192,21,15,2,positive,dataset1
